Date	Firm	To Grade	From Grade	Action
2017-01-10 15:07:01	Goldman Sachs	Buy	Neutral	up
2017-07-11 10:31:32	Jefferies	Hold		main
2017-07-21 15:31:52	Deutsche Bank	Buy		main
2017-07-21 17:07:06	Bank of America	Neutral		main
2017-07-25 19:15:55	Morgan Stanley	Equal-Weight		main
2017-10-09 12:11:49	Bank of America	Buy	Neutral	up
2017-10-10 16:55:38	Barclays	Overweight		main
2017-10-20 12:49:24	Wells Fargo	Outperform		main
2017-10-20 16:57:40	Barclays	Overweight		main
2017-10-25 17:44:21	Deutsche Bank	Buy		main
2018-01-03 12:11:30	Morgan Stanley	Overweight	Equal-Weight	up
2018-01-26 18:55:47	UBS	Buy	Buy	main
2018-01-30 14:31:54	Morgan Stanley	Overweight	Overweight	main
2018-03-06 13:06:11	Keefe Bruyette & Woods	Outperform	Market Perform	up
2018-03-12 17:46:15	Raymond James	Strong Buy	Outperform	up
2018-03-29 11:54:59	JMP Securities	Market Outperform	Market Outperform	main
2018-04-06 15:10:15	Deutsche Bank	Buy	Buy	main
2018-04-10 14:30:33	Morgan Stanley	Overweight	Overweight	main
2018-04-20 12:31:44	Credit Suisse	Outperform	Outperform	main
2018-04-25 13:07:49	Morgan Stanley	Overweight	Overweight	main
2018-07-12 12:51:41	Morgan Stanley	Overweight	Overweight	main
2018-07-13 12:11:20	Raymond James	Strong Buy	Strong Buy	main
2018-07-20 12:38:14	Credit Suisse	Outperform	Outperform	main
2018-07-20 16:57:50	Barclays	Overweight	Overweight	main
2018-07-25 12:04:42	Morgan Stanley	Overweight	Overweight	main
2018-08-22 12:41:36	Deutsche Bank	Buy	Buy	main
2018-09-18 11:30:01	Morgan Stanley	Overweight	Overweight	main
2018-09-19 10:18:57	Jefferies	Buy	Hold	up
2018-09-26 16:07:24	Bank of America	Buy	Buy	main
2018-10-04 12:11:19	Raymond James	Strong Buy	Strong Buy	main
2018-10-08 14:17:52	UBS	Buy	Buy	main
2018-10-09 11:47:08	Morgan Stanley	Overweight	Overweight	main
2018-10-19 13:01:00	Raymond James	Strong Buy	Strong Buy	main
2018-10-19 13:53:01	Barclays	Overweight	Overweight	main
2018-10-30 10:03:42	Raymond James	Outperform	Strong Buy	down
2018-10-30 14:41:37	Credit Suisse	Outperform	Outperform	main
2018-10-31 15:20:52	Jefferies	Buy	Buy	main
2018-11-14 13:05:26	Morgan Stanley	Overweight	Overweight	main
2018-11-16 14:29:49	Deutsche Bank	Buy	Buy	main
2019-01-04 14:52:45	Wells Fargo	Outperform	Outperform	main
2019-01-04 15:46:46	Morgan Stanley	Overweight	Overweight	main
2019-02-20 11:31:32	UBS	Neutral	Buy	down
2019-05-07 13:46:06	Morgan Stanley	Overweight	Overweight	main
