Date	Dividends	Stock Splits
1998-09-25	0.375	0.0
1998-12-22	0.5625	0.0
1999-02-01	0.0	2.0
1999-03-24	0.5625	0.0
1999-05-24	0.0	2.0
1999-06-22	0.5625	0.0
1999-09-21	0.5625	0.0
1999-12-21	0.5625	0.0
2000-03-22	0.5625	0.0
2000-03-27	0.5625	0.0
2001-09-10	0.5625	0.0
2001-12-14	0.5625	0.0
2002-03-14	0.5625	0.0
2002-06-14	0.5625	0.0
2002-09-12	0.5625	0.0
2002-12-13	0.5625	0.0
2003-03-14	0.5625	0.0
2003-06-16	0.5625	0.0
2003-09-16	0.5625	0.0
2003-12-16	0.5625	0.0
2004-03-16	0.5625	0.0
2004-06-16	0.5625	0.0
2010-06-02	0.0	0.1
2018-10-29	0.14	0.0
2019-01-31	0.14	0.0
2019-05-10	0.14	0.0
2019-08-16	0.14	0.0
2019-11-07	0.14	0.0
2020-02-24	0.14	0.0
2020-05-12	0.14	0.0
2020-08-18	0.14	0.0
