	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	38057977	2020-06-29	0.08710000000000001	2736368546
1	Blackrock Inc.	29399378	2020-06-29	0.0673	2113815278
2	State Street Corporation	25426645	2020-06-29	0.0582	1828175775
3	Wells Fargo & Company	11590692	2020-06-29	0.0265	833370754
4	Barrow, Hanley Mewhinney & Strauss, LLC	8438514	2020-06-29	0.019299999999999998	606729156
5	Wellington Management Company, LLP	7408449	2020-06-29	0.017	532667483
6	Aristotle Capital Management, LLC	7210970	2020-06-29	0.0165	518468743
7	Geode Capital Management, LLC	6386707	2020-06-29	0.0146	459204233
8	Bank of America Corporation	6060292	2020-06-29	0.0139	435734994
9	Bank Of New York Mellon Corporation	5813538	2020-06-29	0.013300000000000001	417993382
