	0	1
Earnings Date	2021-02-11 00:00:00	2021-02-15 00:00:00
Earnings Average	0.93	0.93
Earnings Low	0.82	0.82
Earnings High	1.06	1.06
Revenue Average	10796000000	10796000000
Revenue Low	10602000000	10602000000
Revenue High	11038000000	11038000000
