	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	57904097	2020-06-29	0.0819	6437777504
1	Blackrock Inc.	46671683	2020-06-29	0.066	5188957715
2	State Street Corporation	28859787	2020-06-29	0.0408	3208631118
3	Bank of America Corporation	19527396	2020-06-29	0.0276	2171055887
4	Price (T.Rowe) Associates Inc	16463030	2020-06-29	0.0233	1830359675
5	Capital Research Global Investors	12828768	2020-06-29	0.0181	1426302426
6	ClearBridge Investments, LLC	12750834	2020-06-29	0.018000000000000002	1417637724
7	FMR, LLC	11887191	2020-06-29	0.0168	1321617895
8	Franklin Resources, Inc.	10596389	2020-06-29	0.015	1178106529
9	Wellington Management Company, LLP	10432818	2020-06-29	0.0148	1159920705
