	0	1
Earnings Date	2020-10-21 00:00:00	2020-10-26 00:00:00
Earnings Average	0.94	0.94
Earnings Low	0.76	0.76
Earnings High	0.98	0.98
Revenue Average	5399280000	5399280000
Revenue Low	4970900000	4970900000
Revenue High	5590000000	5590000000
