	Holder	Shares	Date Reported	% Out	Value
0	Capital World Investors	39284885	2020-09-29	0.0966	14312269303
1	Capital International Investors	34411980	2020-09-29	0.08460000000000001	12536972553
2	Vanguard Group, Inc. (The)	33978878	2020-09-29	0.08349999999999999	12379184832
3	Capital Research Global Investors	32858939	2020-09-29	0.0808	11971168656
4	Blackrock Inc.	25771477	2020-09-29	0.0634	9389064500
5	State Street Corporation	16278517	2020-09-29	0.04	5930589313
6	Bank of America Corporation	8159843	2020-09-29	0.020099999999999996	2972794001
7	Ameriprise Financial, Inc.	6350765	2020-09-29	0.015600000000000001	2313710704
8	Geode Capital Management, LLC	5876462	2020-09-29	0.0144	2140912635
9	Northern Trust Corporation	4823147	2020-09-29	0.011899999999999999	1757168915
