	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	26583375	2020-06-29	0.0851	2578321541
1	Vanguard Group, Inc. (The)	24549345	2020-06-29	0.0786	2381040971
2	State Street Corporation	15248676	2020-06-29	0.048799999999999996	1478969085
3	Ameriprise Financial, Inc.	10253721	2020-06-29	0.032799999999999996	994508399
4	Macquarie Group Limited	7109179	2020-06-29	0.022799999999999997	689519271
5	Northern Trust Corporation	6003728	2020-06-29	0.0192	582301578
6	Lsv Asset Management	5166784	2020-06-29	0.0165	501126380
7	Geode Capital Management, LLC	4973742	2020-06-29	0.0159	482403236
8	AQR Capital Management, LLC	4598401	2020-06-29	0.0147	445998912
9	Wells Fargo & Company	4185371	2020-06-29	0.0134	405939133
