	Holder	Shares	Date Reported	% Out	Value
0	Price (T.Rowe) Associates Inc	26135615	2020-06-29	0.0904	3063878146
1	Vanguard Group, Inc. (The)	25752635	2020-06-29	0.08900000000000001	3018981401
2	Blackrock Inc.	21054286	2020-06-29	0.0728	2468193947
3	Capital International Investors	18183736	2020-06-29	0.0629	2131679371
4	State Street Corporation	16271322	2020-06-29	0.056299999999999996	1907487078
5	Wellington Management Company, LLP	10780431	2020-06-29	0.0373	1263789926
6	Newport Trust Co	8598842	2020-06-29	0.0297	1008042247
7	Norges Bank Investment Management	6103581	2019-12-30	0.021099999999999997	924570449
8	Deutsche Bank Aktiengesellschaft	5396817	2020-06-29	0.0187	632668856
9	FMR, LLC	4262861	2020-06-29	0.0147	499735195
