	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	57389318	2020-06-29	0.1294	14837434275
1	Blackrock Inc.	32875452	2020-06-29	0.0741	8499619360
2	State Street Corporation	19338580	2020-06-29	0.0436	4999796473
3	Wellington Management Company, LLP	17174848	2020-06-29	0.0387	4440385201
4	FMR, LLC	14939258	2020-06-29	0.0337	3862395763
5	Cohen & Steers Inc.	10888128	2020-06-29	0.0245	2815016613
6	Capital World Investors	9736007	2020-06-29	0.0219	2517147249
7	Edgewood Management Company	9196532	2020-06-29	0.0207	2377671383
8	Akre Capital Management, LLC	7037939	2020-06-29	0.0159	1819588749
9	Northern Trust Corporation	6784992	2020-06-29	0.015300000000000001	1754191831
