	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	23754147	2020-06-29	0.0753	517127780
1	Renaissance Technologies, LLC	22225426	2020-06-29	0.0704	483847524
2	Blackrock Inc.	14511877	2020-06-29	0.046	315923562
3	Ameriprise Financial, Inc.	10478944	2020-06-29	0.0332	228126610
4	FMR, LLC	10311717	2020-06-29	0.0327	224486079
5	Ninety One UK Ltd	9920168	2020-06-29	0.031400000000000004	215962057
6	First Trust Advisors LP	7760808	2020-06-29	0.0246	168952790
7	Pictet Asset Management Ltd	6500188	2020-06-29	0.0206	141509092
8	Soma Equity Partners LP	6275000	2020-06-29	0.0199	136606750
9	State Street Corporation	4973540	2020-06-29	0.0158	108273965
