	0	1
Earnings Date	2020-10-23 00:00:00	2020-10-27 00:00:00
Earnings Average	0.08	0.08
Earnings Low	0.06	0.06
Earnings High	0.1	0.1
Revenue Average	918770000	918770000
Revenue Low	916200000	916200000
Revenue High	922000000	922000000
