	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	17990080	2020-09-29	0.0818	4155888380
1	Vanguard Group, Inc. (The)	17790217	2020-09-29	0.0809	4109718029
2	Capital Research Global Investors	10804961	2020-09-29	0.049100000000000005	2496054040
3	Loomis Sayles & Company, LP	10492796	2020-09-29	0.04769999999999999	2423940803
4	State Street Corporation	8737939	2020-09-29	0.0397	2018551288
5	Capital World Investors	7974079	2020-09-29	0.0363	1842091989
6	FMR, LLC	7961055	2020-09-29	0.0362	1839083315
7	Polen Capital Management, LLC	6315238	2020-09-29	0.0287	1458883130
8	Brown Advisory Inc.	3923544	2020-09-29	0.0178	906377899
9	Bank of America Corporation	3881266	2020-09-29	0.0177	896611258
