	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	128853990	Sep 29, 2020	9.00%	4923510957
1	Vanguard Group, Inc. (The)	112005986	Sep 29, 2020	7.82%	4279748725
2	State Street Corporation	63870702	Sep 29, 2020	4.46%	2440499523
3	FMR, LLC	61722644	Sep 29, 2020	4.31%	2358422227
4	Capital World Investors	61136588	Sep 29, 2020	4.27%	2336029027
5	Wellington Management Company, LLP	58601790	Sep 29, 2020	4.09%	2239174395
6	Janus Henderson Group PLC	48702542	Sep 29, 2020	3.40%	1860924129
7	Massachusetts Financial Services Co.	43325456	Sep 29, 2020	3.03%	1655465673
8	Price (T.Rowe) Associates Inc	42177440	Sep 29, 2020	2.95%	1611599982
9	JP Morgan Chase & Company	41555253	Sep 29, 2020	2.90%	1587826217
