	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	23367076	2020-06-29	0.07780000000000001	33135682121
1	Blackrock Inc.	20565856	2020-06-29	0.0684	29163412100
2	FMR, LLC	12317622	2020-06-29	0.040999999999999995	17467003877
3	State Street Corporation	11829386	2020-06-29	0.0394	16774660817
4	Price (T.Rowe) Associates Inc	7124282	2020-06-29	0.023700000000000002	10102588090
5	Norges Bank Investment Management	5082064	2019-12-30	0.0169	6806865700
6	Geode Capital Management, LLC	4829958	2020-06-29	0.0161	6849121941
7	Wellington Management Company, LLP	4655845	2020-06-29	0.0155	6602221002
8	Northern Trust Corporation	3810872	2020-06-29	0.0127	5404007039
9	Bank of America Corporation	3611127	2020-06-29	0.012	5120758642
