	0	1
Earnings Date	2020-11-19 00:00:00	2020-11-23 00:00:00
Earnings Average	-0.1	-0.1
Earnings Low	-0.12	-0.12
Earnings High	-0.08	-0.08
Revenue Average	109500000	109500000
Revenue Low	106880000	106880000
Revenue High	110010000	110010000
