	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	11371518	2020-06-29	0.0814	515243480
1	Coatue Management, LLC	8632084	2020-06-29	0.061799999999999994	391119726
2	Tiger Global Management, LLC	6800903	2020-06-29	0.0487	308148914
3	Price (T.Rowe) Associates Inc	6683126	2020-06-29	0.0478	302812439
4	Blackrock Inc.	6613606	2020-06-29	0.0473	299662487
5	Viking Global Investors, L.P.	5746829	2020-06-29	0.041100000000000005	260388821
6	Brown Capital Management, Inc.	4762495	2020-06-29	0.0341	215788648
7	D1 Capital Partners, LP	4727277	2020-06-29	0.0338	214192920
8	Capital Research Global Investors	4326218	2020-06-29	0.031	196020937
9	Meritech Capital Associates IV, L.L.C.	3960506	2020-06-29	0.028300000000000002	179450526
