	0	1
Earnings Date	2020-10-21 00:00:00	2020-10-26 00:00:00
Earnings Average	6.1	6.1
Earnings Low	5.46	5.46
Earnings High	6.85	6.85
Revenue Average	2969790000	2969790000
Revenue Low	2853180000	2853180000
Revenue High	3123200000	3123200000
