	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	16093482	2020-06-29	0.07769999999999999	1920918011
1	Blackrock Inc.	14477051	2020-06-29	0.0699	1727980807
2	Massachusetts Financial Services Co.	10271166	2020-06-29	0.0496	1225966373
3	JP Morgan Chase & Company	9266582	2020-06-29	0.044800000000000006	1106059227
4	State Street Corporation	8826222	2020-06-29	0.0426	1053497857
5	Capital Research Global Investors	8656078	2020-06-29	0.0418	1033189470
6	Invesco Ltd.	6610087	2020-06-29	0.0319	788979984
7	Price (T.Rowe) Associates Inc	6244231	2020-06-29	0.0302	745311412
8	Nordea Investment Management Ab	6083680	2020-06-29	0.0294	726148044
9	American Century Companies, Inc.	4147721	2020-06-29	0.02	495071978
