	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	43082708	Sep 29, 2019	9.71%	189563915
1	Dynamo Internacional Gestao De Recursos Ltda.	32261002	Sep 29, 2019	7.27%	141948408
2	Renaissance Technologies, LLC	23672978	Sep 29, 2019	5.34%	104161103
3	Vanguard Group, Inc. (The)	14917785	Sep 29, 2019	3.36%	65638254
4	Dimensional Fund Advisors LP	12158643	Sep 29, 2019	2.74%	53498029
5	Dynamo Administracao de Recursos Ltda.	11654838	Sep 29, 2019	2.63%	51281287
6	Morgan Stanley	9206789	Sep 29, 2019	2.08%	40509871
7	Bank of America Corporation	9030937	Sep 29, 2019	2.04%	39736122
8	TIG Advisors, LLC	8255997	Sep 29, 2019	1.86%	36326386
9	Miller Value Partners, LLC	8003813	Sep 29, 2019	1.80%	35216777
