	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	60472825	2020-06-29	0.0783	4589887417
1	FMR, LLC	56412848	2020-06-29	0.0731	4281735163
2	Blackrock Inc.	54133188	2020-06-29	0.0701	4108708969
3	Capital International Investors	45322139	2020-06-29	0.0587	3439950350
4	Capital World Investors	38060002	2020-06-29	0.0493	2888754151
5	State Street Corporation	34140631	2020-06-29	0.044199999999999996	2591273892
6	Geode Capital Management, LLC	11783266	2020-06-29	0.015300000000000001	894349889
7	Invesco Ltd.	11507426	2020-06-29	0.0149	873413633
8	Capital Research Global Investors	10432432	2020-06-29	0.013500000000000002	791821588
9	Ameriprise Financial, Inc.	10184946	2020-06-29	0.0132	773037401
