Date	Firm	To Grade	From Grade	Action
2019-08-09 16:33:50	Bank of America	Buy		reit
2019-08-12 14:10:36	SunTrust Robinson Humphrey	Buy		main
2019-08-14 12:04:57	BMO Capital	Market Perform		main
2019-09-04 10:24:41	BMO Capital	Outperform	Market Perform	up
2019-09-05 11:06:40	Stephens & Co.	Overweight	Equal-Weight	up
2019-09-09 11:43:16	Stifel	Buy		main
2019-09-12 10:13:56	Nomura	Buy	Neutral	up
2019-09-12 14:06:49	Bank of America	Buy		main
2019-09-18 12:40:09	Piper Jaffray	Overweight		main
2019-10-02 11:46:22	Bernstein	Underperform	Market Perform	down
2019-10-11 12:56:07	SunTrust Robinson Humphrey	Buy		main
2019-10-15 11:44:39	Morgan Stanley	Overweight		main
2019-10-15 12:12:33	Citi	Neutral		main
2019-11-04 12:33:14	BMO Capital	Outperform		main
2019-11-08 13:19:02	JP Morgan	Overweight		main
2019-11-13 12:52:18	UBS	Buy		main
2019-12-09 13:46:14	SunTrust Robinson Humphrey	Buy		main
2019-12-31 12:54:01	Credit Suisse	Outperform		main
2020-01-10 13:24:25	Stifel	Buy		reit
2020-01-14 13:42:11	Nomura	Buy		main
2020-01-21 13:57:48	Morgan Stanley	Overweight		main
2020-01-28 13:35:27	Piper Sandler	Overweight		main
2020-02-04 10:51:33	KeyBanc	Overweight		main
2020-02-07 11:36:30	Needham	Buy		main
2020-02-07 13:17:25	Wedbush	Outperform		main
2020-02-07 14:25:23	Morgan Stanley	Overweight		main
2020-02-10 14:36:47	BMO Capital	Outperform		main
2020-02-12 12:18:32	SunTrust Robinson Humphrey	Buy		main
2020-02-14 12:58:44	MKM Partners	Neutral		main
2020-03-02 11:28:04	Stephens & Co.	Overweight		main
2020-03-10 11:18:22	Oppenheimer	Outperform	Perform	up
2020-03-25 11:06:35	Berenberg	Buy	Hold	up
2020-04-02 12:39:38	MKM Partners	Buy	Neutral	up
2020-04-21 11:39:48	Benchmark	Buy		main
2020-05-06 11:57:21	Nomura Instinet	Buy		main
2020-05-06 12:03:25	Morgan Stanley	Overweight		main
2020-05-06 12:18:19	B of A Securities	Buy		reit
2020-05-06 12:24:15	Credit Suisse	Outperform		main
2020-05-06 12:58:15	Wedbush	Outperform		main
2020-05-06 13:01:17	UBS	Buy		main
2020-05-06 13:35:18	JP Morgan	Overweight		main
2020-05-07 15:47:31	Baird	Outperform		main
2020-05-07 16:55:24	BMO Capital	Outperform		main
2020-05-15 13:28:58	SunTrust Robinson Humphrey	Buy		main
2020-05-18 14:17:14	Citigroup	Neutral		main
2020-05-21 11:42:32	Deutsche Bank	Hold		main
2020-06-08 14:02:02	Oppenheimer	Outperformer		main
2020-06-09 11:45:49	Morgan Stanley	Overweight		main
2020-06-25 08:39:31	KeyBanc	Overweight		main
2020-07-02 09:47:34	Needham	Buy		main
2020-07-22 13:49:42	Wells Fargo	Overweight		main
2020-07-23 08:36:48	KeyBanc	Overweight		main
2020-07-24 12:16:40	Morgan Stanley	Overweight		main
2020-08-05 10:17:12	Needham	Buy		main
2020-08-05 11:51:30	Credit Suisse	Outperform		main
2020-08-05 13:43:58	Morgan Stanley	Overweight		main
2020-08-06 13:43:21	Stifel	Buy		main
2020-08-06 15:17:19	BMO Capital	Outperform		main
2020-08-13 11:43:06	Citigroup	Neutral		main
