	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	2253208	2020-09-29	0.0911	1161438595
1	Blackrock Inc.	1622229	2020-09-29	0.06559999999999999	836194160
2	FMR, LLC	1404427	2020-09-29	0.056799999999999996	723925941
3	State Street Corporation	958737	2020-09-29	0.0388	494190574
4	American Century Companies, Inc.	585817	2020-09-29	0.023700000000000002	301965230
5	Brown Advisory Inc.	465409	2020-09-29	0.018799999999999997	239899723
6	Invesco Ltd.	459951	2020-09-29	0.018600000000000002	237086342
7	Wells Fargo & Company	414076	2020-09-29	0.0167	213439614
8	Atlanta Capital Management Company LLC	397973	2020-09-29	0.0161	205139162
9	Ubs Asset Management Americas Inc	386144	2020-09-29	0.015600000000000001	199041786
