	Holder	Shares	Date Reported	% Out	Value
0	Berkshire Hathaway, Inc	400000000	2020-06-29	0.0931	17872000000
1	Vanguard Group, Inc. (The)	322605462	2020-06-29	0.0751	14414012042
2	Blackrock Inc.	298038286	2020-06-29	0.0694	13316350618
3	State Street Corporation	184298893	2020-06-29	0.0429	8234474539
4	Wellington Management Company, LLP	108778165	2020-06-29	0.0253	4860208412
5	Geode Capital Management, LLC	55523910	2020-06-29	0.0129	2480808298
6	Northern Trust Corporation	50247412	2020-06-29	0.011699999999999999	2245054368
7	FMR, LLC	49429374	2020-06-29	0.0115	2208504430
8	JP Morgan Chase & Company	47078175	2020-06-29	0.011000000000000001	2103452859
9	Morgan Stanley	43829877	2020-06-29	0.0102	1958318904
