	0	1
Earnings Date	2021-02-25 00:00:00	2021-03-01 00:00:00
Earnings Average	-4.14	-4.14
Earnings Low	-4.83	-4.83
Earnings High	-2.88	-2.88
Revenue Average	181020000	181020000
Revenue Low	123300000	123300000
Revenue High	252400000	252400000
