	Holder	Shares	Date Reported	% Out	Value
0	Dodge & Cox Inc	31429828	2020-06-29	0.1096	1084643364
1	Vanguard Group, Inc. (The)	27282565	2020-06-29	0.0951	941521318
2	Blackrock Inc.	16199833	2020-06-29	0.0565	559056236
3	State Street Corporation	11901738	2020-06-29	0.0415	410728978
4	JP Morgan Chase & Company	7692267	2020-06-29	0.0268	265460134
5	King Street Capital Management, LP	7395639	2020-06-29	0.0258	255223501
6	Jericho Capital Asset Management, LP	6779984	2020-06-29	0.0236	233977247
7	Eagle Capital Management LLC	5595485	2020-06-29	0.0195	193100187
8	Palestra Capital Management LLC	5449090	2020-06-29	0.019	188048095
9	Geode Capital Management, LLC	4658248	2020-06-29	0.016200000000000003	160756138
