	Holder	Shares	Date Reported	% Out	Value
0	State Street Corporation	32256973	2020-06-29	0.06509999999999999	676428723
1	Vanguard Group, Inc. (The)	31154917	2020-06-29	0.0629	653318609
2	Blackrock Inc.	28981362	2020-06-29	0.058499999999999996	607739161
3	Abrams Capital Management, L.P.	9717841	2020-06-29	0.0196	203783125
4	Price (T.Rowe) Associates Inc	8027417	2020-06-29	0.016200000000000003	168334934
5	Clarkston Capital Partners LLC	7060347	2020-06-29	0.0143	148055476
6	Bank of America Corporation	6083964	2020-06-29	0.0123	127580725
7	Invesco Ltd.	5498906	2020-06-29	0.0111	115312058
8	ProShares Advisors, LLC	5028586	2020-06-29	0.0102	105449448
9	Prudential PLC	4657801	2020-06-29	0.009399999999999999	97674086
