	0	1
Earnings Date	2020-10-23 00:00:00	2020-10-27 00:00:00
Earnings Average	0.63	0.63
Earnings Low	0.44	0.44
Earnings High	0.75	0.75
Revenue Average	1225620000	1225620000
Revenue Low	1210300000	1210300000
Revenue High	1236420000	1236420000
