	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	24570326	2020-09-29	0.08449999999999999	5717023453
1	Blackrock Inc.	21378911	2020-09-29	0.0735	4974445011
2	Price (T.Rowe) Associates Inc	18065431	2020-09-29	0.0621	4203464485
3	State Street Corporation	12334996	2020-09-29	0.0424	2870106869
4	Wellington Management Company, LLP	11561801	2020-09-29	0.0398	2690199856
5	FMR, LLC	9824725	2020-09-29	0.0338	2286017013
6	Morgan Stanley	7584726	2020-09-29	0.026099999999999998	1764814045
7	Massachusetts Financial Services Co.	4539692	2020-09-29	0.015600000000000001	1056295534
8	Fundsmith LLP	4340972	2020-09-29	0.0149	1010057364
9	Geode Capital Management, LLC	4053461	2020-09-29	0.0139	943159305
