	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	49797071	2020-06-29	0.0815	3069989427
1	Blackrock Inc.	45924787	2020-06-29	0.07519999999999999	2831263118
2	State Street Corporation	36578798	2020-06-29	0.0599	2255082896
3	Capital Research Global Investors	28030984	2020-06-29	0.045899999999999996	1728110163
4	Invesco Ltd.	17272604	2020-06-29	0.028300000000000002	1064856036
5	Capital World Investors	15750122	2020-06-29	0.0258	970995021
6	Capital International Investors	11610366	2020-06-29	0.019	715779063
7	Geode Capital Management, LLC	9061164	2020-06-29	0.0148	558620760
8	Northern Trust Corporation	8294479	2020-06-29	0.013600000000000001	511354630
9	Charles Schwab Investment Management, Inc.	6547294	2020-06-29	0.010700000000000001	403640675
