	0	1
Earnings Date	2020-12-17 00:00:00	2020-12-21 00:00:00
Earnings Average	0.61	0.61
Earnings Low	0.44	0.44
Earnings High	0.81	0.81
Revenue Average	10548500000	10548500000
Revenue Low	10323000000	10323000000
Revenue High	10991000000	10991000000
