	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	7717775	2020-09-29	0.09789999999999999	2526490824
1	Blackrock Inc.	5505402	2020-09-29	0.0698	1802248398
2	Edgewood Management Company	5189120	2020-09-29	0.0658	1698710323
3	Sands Capital Management, LLC	3086750	2020-09-29	0.0391	1010478480
4	State Street Corporation	3073311	2020-09-29	0.039	1006079088
5	Polen Capital Management, LLC	2597811	2020-09-29	0.0329	850419408
6	AllianceBernstein, L.P.	2009509	2020-09-29	0.0255	657832866
7	Price (T.Rowe) Associates Inc	1511720	2020-09-29	0.0192	494876659
8	Renaissance Technologies, LLC	1444548	2020-09-29	0.0183	472887233
9	Janus Henderson Group PLC	1316661	2020-09-29	0.0167	431022144
