	Holder	Shares	Date Reported	% Out	Value
0	Icahn, Carl, C.	35227904	2020-06-29	0.23870000000000002	1584551121
1	Capital Research Global Investors	18397822	2020-06-29	0.1247	827534033
2	Renaissance Technologies, LLC	10997964	2020-06-29	0.0745	494688420
3	Vanguard Group, Inc. (The)	9344451	2020-06-29	0.0633	420313405
4	Deccan Value Investors L.P.	7306300	2020-06-29	0.0495	328637374
5	Route One Investment Company, L.P.	5372194	2020-06-29	0.0364	241641286
6	Blackrock Inc.	4540498	2020-06-29	0.0308	204231600
7	FMR, LLC	3952709	2020-06-29	0.0268	177792850
8	Bronte Capital Management Pty Ltd.	2083862	2020-06-29	0.0141	93732112
9	Acadian Asset Management	2011267	2020-06-29	0.013600000000000001	90466789
