	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	9941558	2020-06-29	0.1594	105778177
1	Vanguard Group, Inc. (The)	6608132	2020-06-29	0.1059	70310524
2	Dimensional Fund Advisors LP	5199089	2020-06-29	0.0834	55318306
3	Prentice Capital Management, LP	3799839	2020-06-29	0.060899999999999996	40430286
4	State Street Corporation	3683874	2020-06-29	0.0591	39196419
5	Paradice Investment Management, LLC	2938138	2020-06-29	0.0471	31261788
6	Senvest Management LLC	1514354	2020-06-29	0.024300000000000002	16112726
7	Arrowstreet Capital, Limited Partnership	1490992	2020-06-29	0.0239	15864154
8	Divisar Capital Management LLC	1371630	2020-06-29	0.022000000000000002	14594143
9	Kempen Capital Management N.V.	1342839	2020-06-29	0.0215	14287806
