	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	15870529	2020-06-29	0.1116	1486592451
1	JP Morgan Chase & Company	9229761	2020-06-29	0.0649	864551712
2	Blackrock Inc.	9034383	2020-06-29	0.0635	846250655
3	State Street Corporation	5731414	2020-06-29	0.0403	536861549
4	Wellington Management Company, LLP	3695558	2020-06-29	0.026000000000000002	346162917
5	Victory Capital Management Inc.	2469400	2020-06-29	0.0174	231308698
6	Southpoint Capital Advisors Lp	2359810	2020-06-29	0.0166	221043402
7	Boston Partners	2269512	2020-06-29	0.016	212585189
8	Geode Capital Management, LLC	2137656	2020-06-29	0.015	200234237
9	Dimensional Fund Advisors LP	1704233	2020-06-29	0.012	159635505
