	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	97057511	2020-06-29	0.1105	1259806492
1	Blackrock Inc.	60439106	2020-06-29	0.0688	784499595
2	Dodge & Cox Inc	48835006	2020-06-29	0.0556	633878377
3	State Street Corporation	46927059	2020-06-29	0.053399999999999996	609113225
4	Price (T.Rowe) Associates Inc	42726516	2020-06-29	0.048600000000000004	554590177
5	Pzena Investment Management, LLC	39340655	2020-06-29	0.044800000000000006	510641701
6	Sanders Capital, Llc	23692943	2020-06-29	0.027000000000000003	307534400
7	Geode Capital Management, LLC	14045555	2020-06-29	0.016	182311303
8	Hotchkis & Wiley Capital Management, LLC	12605364	2020-06-29	0.0143	163617624
9	Northern Trust Corporation	9962390	2020-06-29	0.0113	129311822
