	Holder	Shares	Date Reported	% Out	Value
0	Baillie Gifford and Company	58856065	2020-06-29	0.0635	12710673509
1	Capital World Investors	53390465	2020-06-29	0.0576	11530311602
2	Vanguard Group, Inc. (The)	44264185	2020-06-29	0.0478	9559381920
3	Blackrock Inc.	38598840	2020-06-29	0.0416	8335882684
4	FMR, LLC	23546700	2020-06-29	0.0254	5085192425
5	Jennison Associates LLC	19343710	2020-06-29	0.0209	4177506299
6	State Street Corporation	15835650	2020-06-29	0.0171	3419898645
7	JP Morgan Chase & Company	13754295	2020-06-29	0.0148	2970405056
8	Goldman Sachs Group, Inc.	9942455	2020-06-29	0.010700000000000001	2147192466
9	BAMCO Inc.	8085050	2020-06-29	0.0087	1746063568
