	0	1
Earnings Date	2020-12-04 00:00:00	2020-12-09 00:00:00
Earnings Average	0.76	0.76
Earnings Low	0.73	0.73
Earnings High	0.88	0.88
Revenue Average	692050000	692050000
Revenue Low	685000000	685000000
Revenue High	729870000	729870000
