	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	561173481	2020-09-29	0.0788	15999055943
1	Blackrock Inc.	481902231	2020-09-29	0.0676	13739032605
2	State Street Corporation	293986821	2020-09-29	0.041299999999999996	8381564266
3	Newport Trust Co	199386853	2020-09-29	0.027999999999999997	5684519179
4	Geode Capital Management, LLC	109443828	2020-09-29	0.0154	3120243536
5	Northern Trust Corporation	85117870	2020-09-29	0.011899999999999999	2426710473
6	Bank of America Corporation	84367359	2020-09-29	0.0118	2405313405
7	Morgan Stanley	75022082	2020-09-29	0.0105	2138879557
8	Norges Bank Investment Management	74930915	2019-12-30	0.0105	2928300158
9	Dimensional Fund Advisors LP	60299946	2020-09-29	0.0085	1719151460
