	Holder	Shares	Date Reported	% Out	Value
0	Price (T.Rowe) Associates Inc	22504847	2020-06-29	0.0666	2184320449
1	Vanguard Group, Inc. (The)	21004916	2020-06-29	0.0621	2038737146
2	Blackrock Inc.	19165287	2020-06-29	0.0567	1860182756
3	Wellington Management Company, LLP	19086914	2020-06-29	0.0565	1852575872
4	State Street Corporation	11713574	2020-06-29	0.0347	1136919492
5	Longview Partners (Guernsey) LTD	9302668	2020-06-29	0.0275	902916956
6	Harris Associates L.P.	8022145	2020-06-29	0.023700000000000002	778629393
7	Sanders Capital, Llc	6873951	2020-06-29	0.0203	667185684
8	Invesco Ltd.	5930236	2020-06-29	0.0175	575588706
9	Geode Capital Management, LLC	3809979	2020-06-29	0.0113	369796561
