	Holder	Shares	Date Reported	% Out	Value
0	PNC Financial Services Group, Inc.	79436314	2020-06-29	0.2039	4840848975
1	Vanguard Group, Inc. (The)	27730209	2020-06-29	0.0712	1689878936
2	Blackrock Inc.	24904054	2020-06-29	0.0639	1517653050
3	State Street Corporation	18021520	2020-06-29	0.0463	1098231428
4	Wellington Management Company, LLP	17713932	2020-06-29	0.0455	1079487016
5	Parnassus Investments /ca	9895284	2020-06-29	0.0254	603018606
6	Wells Fargo & Company	9873219	2020-06-29	0.0253	601673965
7	Capital World Investors	9449550	2020-06-29	0.024300000000000002	575855577
8	Charles Schwab Investment Management, Inc.	8645008	2020-06-29	0.0222	526826787
9	Bank of America Corporation	5867641	2020-06-29	0.0151	357574042
