	0	1
Earnings Date	2020-10-23 00:00:00	2020-10-27 00:00:00
Earnings Average	0.47	0.47
Earnings Low	0.29	0.29
Earnings High	0.58	0.58
Revenue Average	2486420000	2486420000
Revenue Low	2400000000	2400000000
Revenue High	2628410000	2628410000
