	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	33790009	2020-06-29	0.0796	3555046846
1	Blackrock Inc.	26994427	2020-06-29	0.0636	2840083664
2	Wellington Management Company, LLP	22060320	2020-06-29	0.052000000000000005	2320966267
3	State Street Corporation	18488402	2020-06-29	0.0436	1945164774
4	Capital World Investors	15802734	2020-06-29	0.037200000000000004	1662605644
5	Capital International Investors	15139015	2020-06-29	0.035699999999999996	1592775768
6	JP Morgan Chase & Company	13869306	2020-06-29	0.0327	1459189684
7	Price (T.Rowe) Associates Inc	9211695	2020-06-29	0.0217	969162430
8	Bank of America Corporation	7718384	2020-06-29	0.0182	812051180
9	Massachusetts Financial Services Co.	7477851	2020-06-29	0.0176	786744703
