	0	1
Earnings Date	2020-10-28 00:00:00	2020-11-02 00:00:00
Earnings Average	1.66	1.66
Earnings Low	1.39	1.39
Earnings High	1.93	1.93
Revenue Average	1503310000	1503310000
Revenue Low	1496800000	1496800000
Revenue High	1510300000	1510300000
