	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	53257207	2020-06-29	0.1047	696071695
1	Primecap Management Company	51872366	2020-06-29	0.102	677971823
2	Blackrock Inc.	25345876	2020-06-29	0.049800000000000004	331270599
3	State Street Corporation	13019253	2020-06-29	0.0256	170161636
4	Arrowstreet Capital, Limited Partnership	9104262	2020-06-29	0.0179	118992704
5	Geode Capital Management, LLC	8527820	2020-06-29	0.0168	111458607
6	Shaw D.E. & Co., Inc.	8445464	2020-06-29	0.0166	110382214
7	Caas Capital Management LP	8214200	2020-06-29	0.016200000000000003	107359594
8	U.S. Global Investors, Inc.	7760507	2020-06-29	0.015300000000000001	101429826
9	Nuveen Asset Management	4913179	2020-06-29	0.0097	64215249
