	Holder	Shares	Date Reported	% Out	Value
0	Price (T.Rowe) Associates Inc	14799819	2020-06-29	0.1074	1151277920
1	Vanguard Group, Inc. (The)	14442242	2020-06-29	0.1048	1123462005
2	Blackrock Inc.	12473283	2020-06-29	0.09050000000000001	970296684
3	JP Morgan Chase & Company	7682155	2020-06-29	0.0557	597594837
4	State Street Corporation	3595626	2020-06-29	0.026099999999999998	279703746
5	FMR, LLC	2711207	2020-06-29	0.0197	210904792
6	Atlanta Capital Management Company LLC	2496992	2020-06-29	0.0181	194241007
7	Black Creek Investment Management Inc.	2453629	2020-06-29	0.0178	190867799
8	William Blair Investment Management, LLC	2351198	2020-06-29	0.0171	182899692
9	Bank of America Corporation	2182591	2020-06-29	0.0158	169783753
