	Holder	Shares	Date Reported	% Out	Value
0	Dodge & Cox Inc	100113384	Dec 30, 2019	2.43%	521590730
1	Renaissance Technologies, LLC	90053960	Dec 30, 2019	2.19%	469181131
2	Vanguard Group, Inc. (The)	37751443	Dec 30, 2019	0.92%	196685018
3	Blackrock Inc.	37318064	Dec 30, 2019	0.91%	194427113
4	FMR, LLC	36242593	Dec 30, 2019	0.88%	188823909
5	Primecap Management Company	25666500	Dec 30, 2019	0.62%	133722465
6	State Street Corporation	19765178	Dec 30, 2019	0.48%	102976577
7	CNH Partners LLC	19475856	Dec 30, 2019	0.47%	101469209
8	Magnetar Financial LLC	16306411	Dec 30, 2019	0.40%	84956401
9	Paulson & Company, Inc.	16015108	Dec 30, 2019	0.39%	83438712
