Date	Dividends	Stock Splits
1994-12-02	0.125	0.0
1995-03-03	0.125	0.0
1995-06-02	0.125	0.0
1995-09-01	0.25	0.0
1995-09-05	0.125	0.0
1995-12-04	0.125	0.0
1996-03-04	0.25	0.0
1996-03-05	0.125	0.0
1996-06-04	0.125	0.0
1996-09-03	0.25	0.0
1996-09-05	0.125	0.0
1996-12-04	0.125	0.0
1997-03-06	0.125	0.0
1997-06-05	0.125	0.0
1997-06-20	0.125	0.0
1997-09-05	0.125	0.0
1997-12-04	0.125	0.0
1998-03-06	0.125	0.0
1998-06-05	0.125	0.0
1998-09-04	0.125	0.0
1998-11-24	4.625	0.0
1998-12-03	0.125	0.0
1999-03-05	0.125	0.0
1999-06-07	0.0	2.0
1999-06-09	0.125	0.0
1999-09-03	0.125	0.0
1999-12-06	0.125	0.0
2000-03-07	0.125	0.0
2000-06-07	0.125	0.0
2000-09-06	0.125	0.0
2000-12-05	0.125	0.0
2001-03-07	0.125	0.0
2001-06-06	0.125	0.0
2001-09-05	0.125	0.0
2001-12-05	0.125	0.0
2002-03-06	0.125	0.0
2002-06-05	0.125	0.0
2002-09-05	0.125	0.0
2002-12-05	0.125	0.0
2003-03-06	0.125	0.0
2003-06-05	0.125	0.0
2003-09-05	0.125	0.0
2003-12-05	0.125	0.0
2004-03-08	0.125	0.0
2004-06-07	0.125	0.0
2004-09-07	0.125	0.0
2004-12-07	0.125	0.0
2005-03-08	0.125	0.0
2005-06-07	0.125	0.0
2005-09-07	0.025	0.0
2005-12-07	0.025	0.0
2006-03-08	0.025	0.0
2006-05-15	0.025	0.0
2006-05-18	2.27	0.0
2006-09-06	0.025	0.0
2006-12-06	0.025	0.0
2007-03-07	0.025	0.0
2007-06-06	0.025	0.0
2007-09-05	0.025	0.0
2007-12-05	0.025	0.0
