	Holder	Shares	Date Reported	% Out	Value
0	Dodge & Cox Stock Fund	56515127	2019-12-30	0.0137	294443811
1	Vanguard Total Stock Market Index Fund	17216634	2019-12-30	0.0042	89698663
2	Primecap Odyssey Aggressive Growth Fund	16505900	2019-12-30	0.004	85995739
3	Fidelity Advisor New Insights Fund	12110172	2019-12-30	0.0029	63093996
4	Vanguard Extended Market Index Fund	8863191	2019-12-30	0.0022	46177225
5	Dodge & Cox Global Stock Fund	8518500	2019-12-30	0.0021	44381385
6	Dodge & Cox Balanced Fund	8107071	2019-12-30	0.002	42237839
7	First Tr Exchg Tr AlphaDEX Fd-FT Utilities AlphaDEX	7811021	2019-07-30	0.0019	57254783
8	Vanguard Fenway Fds-Primecap Core Fund	7768000	2019-09-29	0.0019	47928560
9	Fidelity Mid-Cap Stock Fund	7283341	2019-12-30	0.0018	37946206
