	0	1
Earnings Date	2020-10-26 00:00:00	2020-10-30 00:00:00
Earnings Average	0.2	0.2
Earnings Low	0.16	0.16
Earnings High	0.24	0.24
Revenue Average	1270470000	1270470000
Revenue Low	1261000000	1261000000
Revenue High	1304000000	1304000000
