	Holder	Shares	Date Reported	% Out	Value
0	SB Investment Advisers (UK) LTD	222228178	2020-06-29	0.1268	6906851772
1	Morgan Stanley	86921191	2020-06-29	0.0496	2701510616
2	FMR, LLC	80793785	2020-06-29	0.0461	2511070837
3	Public Investment Fund	72840541	2020-06-29	0.0416	2263884014
4	Vanguard Group, Inc. (The)	54059378	2020-06-29	0.0308	1680165468
5	Jennison Associates LLC	45137556	2020-06-29	0.0258	1402875240
6	Blackrock Inc.	42348311	2020-06-29	0.0242	1316185505
7	Altimeter Capital Management, LP	28911000	2020-06-29	0.0165	898553880
8	State Street Corporation	22861787	2020-06-29	0.013000000000000001	710544339
9	Sands Capital Management, Inc.	20624331	2020-06-29	0.0118	641004207
