	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	13111019	2020-06-29	0.11470000000000001	1829904921
1	Blackrock Inc.	10312162	2020-06-29	0.0902	1439268450
2	State Street Corporation	5659515	2020-06-29	0.0495	789898508
3	Massachusetts Financial Services Co.	3674554	2020-06-29	0.0321	512857501
4	FMR, LLC	3564026	2020-06-29	0.031200000000000002	497431108
5	AllianceBernstein, L.P.	2356147	2020-06-29	0.0206	328847436
6	Invesco Ltd.	2355133	2020-06-29	0.0206	328705912
7	Geode Capital Management, LLC	1876972	2020-06-29	0.016399999999999998	261968982
8	JP Morgan Chase & Company	1842141	2020-06-29	0.0161	257107619
9	Ubs Asset Management Americas Inc	1781238	2020-06-29	0.015600000000000001	248607387
