	0	1
Earnings Date	2020-10-29 00:00:00	2020-11-02 00:00:00
Earnings Average	1.73	1.73
Earnings Low	1.44	1.44
Earnings High	1.95	1.95
Revenue Average	395110000	395110000
Revenue Low	373400000	373400000
Revenue High	420700000	420700000
