	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	4111768	2020-06-29	0.0932	678482837
1	Wellington Management Company, LLP	4045830	2020-06-29	0.09179999999999999	667602408
2	Blackrock Inc.	3854551	2020-06-29	0.0874	636039460
3	Janus Henderson Group PLC	3346416	2020-06-29	0.0759	552192104
4	Atlanta Capital Management Company LLC	3042460	2020-06-29	0.069	502036324
5	JP Morgan Chase & Company	2186915	2020-06-29	0.0496	360862844
6	Price (T.Rowe) Associates Inc	1953018	2020-06-29	0.0443	322267500
7	Neuberger Berman Group, LLC	1672321	2020-06-29	0.0379	275949688
8	State Street Corporation	1034872	2020-06-29	0.0235	170764228
9	William Blair Investment Management, LLC	871216	2020-06-29	0.019799999999999998	143759352
