	Holder	Shares	Date Reported	% Out	Value
0	Price (T.Rowe) Associates Inc	15645166	2020-06-29	0.11199999999999999	643485677
1	Vanguard Group, Inc. (The)	14372648	2020-06-29	0.10289999999999999	591147012
2	Blackrock Inc.	8963964	2020-06-29	0.0642	368687839
3	State Street Corporation	4561044	2020-06-29	0.0327	187595739
4	CONTINENTAL GRAIN COMPANY	3931155	2020-06-29	0.0282	161688405
5	Ubs Asset Management Americas Inc	3573141	2020-06-29	0.0256	146963289
6	Dimensional Fund Advisors LP	3224968	2020-06-29	0.0231	132642933
7	Adage Capital Partners GP L.L.C.	3044310	2020-06-29	0.0218	125212470
8	Moore Capital Management, LP	2860632	2020-06-29	0.020499999999999997	117657794
9	Marathon Asset Management LLP	2206185	2020-06-29	0.0158	90740389
