	Holder	Shares	Date Reported	% Out	Value
0	Fisher Asset Management, LLC	3841687	2020-06-29	0.16399999999999998	482631137
1	Northern Trust Corporation	1393675	2020-06-29	0.059500000000000004	175087390
2	Renaissance Technologies, LLC	1163710	2020-06-29	0.049699999999999994	146196887
3	Parametric Portfolio Associates	991540	2020-06-29	0.042300000000000004	124567170
4	Dimensional Fund Advisors LP	966989	2020-06-29	0.041299999999999996	121482828
5	Aperio Group LLC	622202	2020-06-29	0.026600000000000002	78167237
6	Bank of America Corporation	553490	2020-06-29	0.0236	69534948
7	Goldman Sachs Group, Inc.	545553	2020-06-29	0.0233	68537823
8	Adage Capital Partners GP L.L.C.	479208	2020-06-29	0.020499999999999997	60202901
9	First Trust Advisors LP	360757	2020-06-29	0.0154	45321901
