	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	5966699	2020-06-29	0.1477	135026398
1	Vanguard Group, Inc. (The)	2714652	2020-06-29	0.0672	61432574
2	Dimensional Fund Advisors LP	2685091	2020-06-29	0.0665	60763609
3	Divisar Capital Management LLC	1373344	2020-06-29	0.034	31078774
4	Frontier Capital Management Company LLC	1365239	2020-06-29	0.0338	30895358
5	State Street Corporation	1304147	2020-06-29	0.0323	29512846
6	Paradigm Capital Management	1262400	2020-06-29	0.031200000000000002	28568112
7	Royce & Associates LP	984075	2020-06-29	0.024399999999999998	22269617
8	Boston Partners	933444	2020-06-29	0.0231	21123837
9	Driehaus Capital Management, LLC	853491	2020-06-29	0.021099999999999997	19314501
