	Holder	Shares	Date Reported	% Out	Value
0	Baillie Gifford and Company	22096060	2020-06-29	0.1233	5704981731
1	Morgan Stanley	17385299	2020-06-29	0.09699999999999999	4488710348
2	Price (T.Rowe) Associates Inc	14605474	2020-06-29	0.0815	3770987332
3	Technology Crossover Management VIII, Ltd.	4522840	2020-06-29	0.0252	1167752059
4	Blackrock Inc.	3428522	2020-06-29	0.0191	885210095
5	Tiger Global Management, LLC	3185589	2020-06-29	0.0178	822487223
6	Jennison Associates LLC	2981887	2020-06-29	0.0166	769893404
7	Wellington Management Company, LLP	2239580	2020-06-29	0.0125	578237160
8	Alecta Pensionsforsakring, Omsesidigt	2104000	2020-06-29	0.011699999999999999	543231760
9	AMF Pensionsforsakring AB	2000000	2020-06-29	0.011200000000000002	516380000
