	Holder	Shares	Date Reported	% Out	Value
0	Wellington Management Company, LLP	58087028	2020-06-29	0.1124	934039410
1	Vanguard Group, Inc. (The)	57343253	2020-06-29	0.1109	922079508
2	Blackrock Inc.	43954531	2020-06-29	0.085	706788858
3	State Street Corporation	24237502	2020-06-29	0.046900000000000004	389739032
4	Pzena Investment Management, LLC	16761549	2020-06-29	0.032400000000000005	269525707
5	FIL LTD	15174509	2020-06-29	0.0294	244006104
6	AQR Capital Management, LLC	12244192	2020-06-29	0.023700000000000002	196886607
7	Deerfield Management Company, L.P. (Series C)	12151362	2020-06-29	0.0235	195393900
8	Paulson & Company, Inc.	11478260	2020-06-29	0.0222	184570420
9	Camber Capital Management LP	11000000	2020-06-29	0.0213	176880000
