	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	37070373	2020-06-29	0.11349999999999999	2576020219
1	Blackrock Inc.	24880787	2020-06-29	0.0762	1728965888
2	Price (T.Rowe) Associates Inc	24209725	2020-06-29	0.0741	1682333790
3	State Street Corporation	14401732	2020-06-29	0.0441	1000776356
4	Bank of America Corporation	11197053	2020-06-29	0.034300000000000004	778083212
5	JP Morgan Chase & Company	8861973	2020-06-29	0.0271	615818503
6	Jackson Square Partners, LLC	7530374	2020-06-29	0.0231	523285689
7	Wellington Management Company, LLP	7139862	2020-06-29	0.0219	496149010
8	Geode Capital Management, LLC	5088320	2020-06-29	0.015600000000000001	353587356
9	First Merchants Corp	4032288	2020-06-29	0.0123	280203693
