	0	1
Earnings Date	2020-10-26 00:00:00	2020-10-30 00:00:00
Earnings Average	0.95	0.95
Earnings Low	0.74	0.74
Earnings High	1.07	1.07
Revenue Average	569090000	569090000
Revenue Low	553000000	553000000
Revenue High	580720000	580720000
