	Holder	Shares	Date Reported	% Out	Value
0	Capital Research Global Investors	71311127	2020-06-29	0.1225	3612621693
1	Capital International Investors	51921884	2020-06-29	0.0892	2630362643
2	Vanguard Group, Inc. (The)	48142756	2020-06-29	0.0827	2438912018
3	Blackrock Inc.	39683817	2020-06-29	0.0682	2010382169
4	State Street Corporation	31822575	2020-06-29	0.0547	1612131649
5	Bank Of New York Mellon Corporation	17595617	2020-06-29	0.0302	891393957
6	Price (T.Rowe) Associates Inc	14124545	2020-06-29	0.024300000000000002	715549449
7	Geode Capital Management, LLC	8518484	2020-06-29	0.0146	431546399
8	Harris Associates L.P.	8398786	2020-06-29	0.0144	425482498
9	Northern Trust Corporation	7667484	2020-06-29	0.0132	388434739
