	Holder	Shares	Date Reported	% Out	Value
0	Primecap Management Company	61763862	2020-09-29	0.1099	283496126
1	Fairfax Financial Holdings Ltd/ Can	46724700	2020-09-29	0.08310000000000001	214466373
2	Ontario Teachers' Pension Plan Board	19820213	2020-09-29	0.0353	90974777
3	Vanguard Group, Inc. (The)	14712541	2020-09-29	0.0262	67530563
4	Harris Associates L.P.	8075900	2020-09-29	0.0144	37068381
5	ETF Managers Group, LLC	7827391	2020-09-29	0.0139	35927724
6	Wells Fargo & Company	7185252	2020-09-29	0.0128	32980306
7	Arrowstreet Capital, Limited Partnership	6180859	2020-09-29	0.011000000000000001	28370142
8	Kahn Brothers Group Inc.	5439576	2020-09-29	0.0097	24967653
9	Norges Bank Investment Management	5018436	2019-12-30	0.0089	32218359
