	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	11932141	2020-06-29	0.10289999999999999	2541546033
1	Blackrock Inc.	8271358	2020-06-29	0.0713	1761799254
2	State Street Corporation	4752921	2020-06-29	0.040999999999999995	1012372173
3	UBS Group AG	3172493	2020-06-29	0.0274	675741009
4	Price (T.Rowe) Associates Inc	2958358	2020-06-29	0.0255	630130254
5	Alecta Pensionsforsakring, Omsesidigt	2923265	2020-06-29	0.0252	622655445
6	JP Morgan Chase & Company	2445680	2020-06-29	0.021099999999999997	520929840
7	Bank Of New York Mellon Corporation	2109109	2020-06-29	0.0182	449240217
8	Geode Capital Management, LLC	2109051	2020-06-29	0.0182	449227863
9	Amundi Pioneer Asset Management	1668945	2020-06-29	0.0144	355485285
